run_path,mode,backend_profile,optimization_recipe,seed,parameter_count,training_steps,training_tokens,final_bpb,tokens_per_second,measured_training_seconds,wall_seconds,source_commit,source_dirty,source_diff_sha256,megatron_commit,torch,cuda,triton_ptxas_path,accelerator,compute_capability
probes/recipe-screen-sm103a-wave1/muonh,probe,compile,muonh,42,9363488,30,11796480,1.949949664463222,1015773.7421927257,7.742196587030776,91.32121492002625,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave1/partial-rope,probe,compile,partial-rope,42,9363488,30,11796480,1.9209450366250969,1277392.2301606345,6.156542849028483,62.45984997006599,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave1/pko,probe,compile,pko,42,9363488,30,11796480,1.9210469261694227,1248424.0539819214,6.2993980089668185,61.57378852402326,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave1/pko-last,probe,compile,pko-last,42,9363488,30,11796480,1.9208210074269139,1262561.1843609705,6.228862487943843,62.907022327999584,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave1/qk-gain,probe,compile,qk-gain,42,9363523,30,11796480,1.9210804507019297,1027491.653172826,7.653901592013426,91.33557897491846,4d4149ce4745307837eaccc8866d480c7332127b,True,2e4c46ea6299bd8dfb7c47c6c7be23ac489e17be63c98650456c0ca60893c387,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave2/adam-every-2,probe,compile,adam-every-2,42,9363488,30,11796480,2.0742474333330665,1220123.2138745748,6.445512969978154,40.244139262940735,4d4149ce4745307837eaccc8866d480c7332127b,True,8214767c1e7b6fedf8b6cf64301fee91d65584d2af2b24ac8492d427ab999bc6,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave2/asymmetric-logits,probe,compile,asymmetric-logits,42,9363488,30,11796480,2.0110803229397916,1257220.467375915,6.255322915967554,49.73064448998775,4d4149ce4745307837eaccc8866d480c7332127b,True,8214767c1e7b6fedf8b6cf64301fee91d65584d2af2b24ac8492d427ab999bc6,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave2/cautious-adam-wd,probe,compile,cautious-adam-wd,42,9363488,30,11796480,1.9211486672759186,949945.3383466409,8.278707924066111,36.9047656559851,4d4149ce4745307837eaccc8866d480c7332127b,True,8214767c1e7b6fedf8b6cf64301fee91d65584d2af2b24ac8492d427ab999bc6,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave2/compile-max-autotune,probe,compile-max-autotune,baseline,42,9363488,30,11796480,1.9210800659753082,1370947.3859517518,5.736412703059614,232.34825870895293,4d4149ce4745307837eaccc8866d480c7332127b,True,8214767c1e7b6fedf8b6cf64301fee91d65584d2af2b24ac8492d427ab999bc6,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave2/compile-reduce-overhead,probe,compile-reduce-overhead,baseline,42,9363488,30,11796480,1.9211122697140597,1314224.5448943025,5.984000246040523,55.9632137020817,4d4149ce4745307837eaccc8866d480c7332127b,True,8214767c1e7b6fedf8b6cf64301fee91d65584d2af2b24ac8492d427ab999bc6,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave2/full-matrix-muon,probe,compile,full-matrix-muon,42,9363488,30,11796480,1.920800956202449,1520947.4742466293,5.170671659056097,43.65800621290691,4d4149ce4745307837eaccc8866d480c7332127b,True,8214767c1e7b6fedf8b6cf64301fee91d65584d2af2b24ac8492d427ab999bc6,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave2/grad-clip-01-full,full,compile,grad-clip-01,42,9363488,286,112459776,1.5172046439640898,1008730.0570802517,107.58836344594602,137.32065563998185,4d4149ce4745307837eaccc8866d480c7332127b,True,8214767c1e7b6fedf8b6cf64301fee91d65584d2af2b24ac8492d427ab999bc6,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
probes/recipe-screen-sm103a-wave2/grad-clip-03-full,full,compile,grad-clip-03,42,9363488,286,112459776,1.5245845996716392,1068942.3858296787,101.52803129400127,132.6510012660874,4d4149ce4745307837eaccc8866d480c7332127b,True,8214767c1e7b6fedf8b6cf64301fee91d65584d2af2b24ac8492d427ab999bc6,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
